name,phone,website,email,procore_url,in_houston,primary_email,priority,sms_1,sms_followup,email_subject,email_body,call_script_opener
Amsys Innovative Solutions,,http://amsysis.com,,https://network.procore.com/p/amsys-innovative-solutions-houston,True,,D,"Hey Amsys Innovative Solutions, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Amsys Innovative Solutions — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Amsys Innovative Solutions,"Hi Amsys Innovative Solutions team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Amsys Innovative Solutions could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: http://amsysis.com

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Amsys Innovative Solutions? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Anchor Technology Electrical & Automation,,http://www.anchorhometech.com,,https://network.procore.com/p/anchor-technology-electrical-and-automation-houston,True,,D,"Hey Anchor Technology Electrical & Automation, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Anchor Technology Electrical & Automation — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Anchor Technology Electrical & Automation,"Hi Anchor Technology Electrical & Automation team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Anchor Technology Electrical & Automation could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: http://www.anchorhometech.com

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Anchor Technology Electrical & Automation? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Anlarr,+18328490048,,,https://network.procore.com/p/anlarr-houston,True,,C,"Hey Anlarr, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Anlarr — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Anlarr,"Hi Anlarr team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Anlarr could show up stronger for high-intent Houston searches like camera installation and access control.

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Anlarr? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Arup,,,,https://network.procore.com/p/arup-houston,True,,D,"Hey Arup, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Arup — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Arup,"Hi Arup team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Arup could show up stronger for high-intent Houston searches like camera installation and access control.

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Arup? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
ASAP Security Services,+18774182727,http://www.serviceasap.com,,https://network.procore.com/p/asap-security-services-houston,True,,C,"Hey ASAP Security Services, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up ASAP Security Services — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for ASAP Security Services,"Hi ASAP Security Services team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, ASAP Security Services could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: http://www.serviceasap.com

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this ASAP Security Services? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
ASI Security Integrators,+12814686728,https://asihouston.com/,administration@asihouston.com,https://network.procore.com/p/asi-security-integrators-houston,True,administration@asihouston.com,A,"Hey ASI Security Integrators, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up ASI Security Integrators — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for ASI Security Integrators,"Hi ASI Security Integrators team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, ASI Security Integrators could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: https://asihouston.com/

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this ASI Security Integrators? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
ATEC COMMUNICATIONS,+18325048775,,,https://network.procore.com/p/atec-communications-houston,True,,C,"Hey ATEC COMMUNICATIONS, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up ATEC COMMUNICATIONS — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for ATEC COMMUNICATIONS,"Hi ATEC COMMUNICATIONS team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, ATEC COMMUNICATIONS could show up stronger for high-intent Houston searches like camera installation and access control.

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this ATEC COMMUNICATIONS? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Authentix Gate Systems,+17136774243,,,https://network.procore.com/p/authentix-gate-systems-houston,True,,C,"Hey Authentix Gate Systems, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Authentix Gate Systems — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Authentix Gate Systems,"Hi Authentix Gate Systems team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Authentix Gate Systems could show up stronger for high-intent Houston searches like camera installation and access control.

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Authentix Gate Systems? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Automatic Gates an Fencing of Texas,,https://automaticgatesanfencingoftexas.net,,https://network.procore.com/p/automatic-gates-an-fencing-of-texas-houston,True,,D,"Hey Automatic Gates an Fencing of Texas, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Automatic Gates an Fencing of Texas — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Automatic Gates an Fencing of Texas,"Hi Automatic Gates an Fencing of Texas team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Automatic Gates an Fencing of Texas could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: https://automaticgatesanfencingoftexas.net

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Automatic Gates an Fencing of Texas? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Blue Knight Security LLCBlue Knight Security LLC,+18324054211,https://blueknightsecurity.biz,marilyn@blueknightsecurity.biz,https://network.procore.com/p/blue-knight-security-llc-houston-1,True,marilyn@blueknightsecurity.biz,A,"Hey Blue Knight Security LLCBlue Knight Security LLC, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Blue Knight Security LLCBlue Knight Security LLC — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Blue Knight Security LLCBlue Knight Security LLC,"Hi Blue Knight Security LLCBlue Knight Security LLC team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Blue Knight Security LLCBlue Knight Security LLC could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: https://blueknightsecurity.biz

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Blue Knight Security LLCBlue Knight Security LLC? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Blue Star SecurityBlue Star Security,,,,https://network.procore.com/p/blue-star-security-houston,True,,D,"Hey Blue Star SecurityBlue Star Security, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Blue Star SecurityBlue Star Security — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Blue Star SecurityBlue Star Security,"Hi Blue Star SecurityBlue Star Security team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Blue Star SecurityBlue Star Security could show up stronger for high-intent Houston searches like camera installation and access control.

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Blue Star SecurityBlue Star Security? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Brandt Constructors & Facility Services,+17135813874,http://Brandtcfs.com,jason@brandtcfs.com,https://network.procore.com/p/brandt-constructors-and-facility-services-houston-1,True,jason@brandtcfs.com,A,"Hey Brandt Constructors & Facility Services, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Brandt Constructors & Facility Services — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Brandt Constructors & Facility Services,"Hi Brandt Constructors & Facility Services team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Brandt Constructors & Facility Services could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: http://Brandtcfs.com

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Brandt Constructors & Facility Services? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
Bravas,,http://Bravas.com/houston/home,,https://network.procore.com/p/bravas-houston,True,,D,"Hey Bravas, I’m Howard. I run HoustonTexasPro. I’m building the Houston Low Voltage & Security contractor list and noticed your visibility could be stronger for “Houston camera installation / access control”. Want me to send a quick 2-minute visibility check?",Quick follow-up Bravas — want that Houston visibility check? It shows what searches you’re missing and a couple quick wins.,Quick Houston visibility check for Bravas,"Hi Bravas team,

I’m Howard Chatman — I run HoustonTexasPro.

I’m putting together the Houston Low Voltage & Security contractor list and I’m reaching out to a handful of solid companies.
From a quick visibility scan, Bravas could show up stronger for high-intent Houston searches like camera installation and access control.

I also took a look at your site: http://Bravas.com/houston/home

If you want, I can send a short visibility check (2 minutes) showing:
• what searches you’re showing up for
• what you’re missing
• 2–3 quick wins

Want me to send it over?

– Howard
HoustonTexasPro","Hi — is this Bravas? My name’s Howard. I run HoustonTexasPro. I’m calling because I’m building a Houston low voltage/security contractor list, and I had a quick visibility note for you. Who’s the best person to speak with about marketing or leads?"
